runnum	runtype	DLS
2908	3	1
2907	3	1
2906	3	1
2905	3	1
2904	3	1
2903	3	1
2902	3	1
2901	3	1
2900	3	1
2899	3	1
2898	3	1
2897	3	1
2896	3	1
2895	3	1
2894	3	1
2893	3	1
2892	3	1
2891	3	1
2890	3	1
2889	3	1
2888	3	1
2887	3	1
2886	3	1
2885	3	1
2884	3	1
2883	3	1
2882	3	1
2881	3	1
2880	3	1
2879	1	1
2878	1	1
2877	3	1
2876	3	1
2875	3	1
2874	3	1
2873	3	1
2872	3	1
2871	3	1
2870	3	1
2869	3	1
2868	3	1
2867	3	1
2866	3	1
2865	3	1
2864	3	1
2863	3	1
2862	3	1
2861	3	1
2860	1	1
2859	1	1
2858	3	1
2857	3	1
2856	3	1
2855	3	1
2854	3	1
2853	3	1
2852	3	1
2851	3	1
2850	3	1
2849	3	1
2848	3	1
2847	3	1
2846	3	1
2845	3	1
2844	3	1
2843	3	1
2842	3	1
2841	1	1
2840	1	1
2839	3	1
2838	3	1
2837	3	1
2836	3	1
2835	3	1
2834	3	1
2833	3	1
2832	3	1
2831	3	1
2830	3	1
2829	3	1
2828	3	1
2827	3	1
2826	3	1
2825	3	1
2824	3	1
2823	3	1
2822	3	1
2821	3	1
2820	3	1
2819	3	1
2818	3	1
2817	3	1
2816	3	1
2815	3	1
2814	3	1
2813	3	1
2812	3	1
2811	3	1
2810	1	1
2809	1	1
2808	3	1
2807	3	1
2806	3	1
2805	3	1
2804	3	1
2803	3	1
2802	3	1
2801	3	1
2800	3	1
2799	3	1
2798	3	1
2797	3	1
2796	3	1
2795	3	1
2794	3	1
2793	3	1
2792	3	1
2791	3	1
2790	3	1
2789	3	1
2788	3	1
2787	3	1
2786	3	1
2785	3	1
2784	3	1
2783	3	1
2782	3	1
2781	3	1
2780	3	1
2779	3	1
2778	1	1
2777	1	1
2776	3	1
2775	1	1
2774	3	1
2773	3	1
2772	3	1
2771	3	1
2770	3	1
2769	3	1
2768	3	1
2767	3	1
2766	1	1
2765	1	1
2764	3	1
2763	3	1
2762	3	1
2761	3	1
2760	3	1
2759	3	1
2758	3	1
2757	3	1
2756	3	1
2755	3	1
2754	3	1
2753	3	1
2752	3	1
2751	3	1
2750	3	1
2749	3	1
2748	1	1
2747	1	1
2746	3	1
2745	3	1
2744	3	1
2743	3	1
2742	3	1
2741	3	1
2740	3	1
2739	3	1
2738	3	1
2737	3	1
2736	3	1
2735	3	1
2734	3	1
2733	3	1
2732	3	1
2731	3	1
2730	3	1
2729	3	1
2728	3	1
2727	3	1
2726	3	1
2725	3	1
2724	3	1
2723	3	1
2722	3	1
2721	3	1
2720	3	1
2719	3	1
2718	3	1
2717	3	1
2716	3	1
2715	3	1
2714	3	1
2713	1	1
2712	1	1
2711	3	1
2710	3	1
2709	3	1
2708	3	1
2707	3	1
2706	3	1
2705	3	1
2704	3	1
2703	3	1
2702	9	1
2701	3	1
2700	3	1
2699	3	1
2698	3	1
2697	1	1
2696	1	1
2695	3	1
2694	3	1
2693	3	1
2692	3	1
2691	3	1
2690	1	1
2689	1	1
2688	3	1
2687	1	1
2686	1	1
2685	3	1
2684	1	1
2683	1	1
2682	3	1
2681	3	1
2680	4	1
2679	5	1
2678	3	1
2677	3	1
2676	5	1
2675	5	1
2674	5	1
2673	5	1
2672	5	1
2671	5	1
2670	4	1
2669	3	1
2668	3	1
2667	3	1
2666	3	1
2665	1	1
2664	1	1
2663	3	1
2662	3	1
2661	3	1
2660	3	1
2659	3	1
2658	3	1
2657	3	1
2656	3	1
2655	3	1
2654	3	1
2653	3	1
2652	3	1
2651	1	1
2650	1	1
2649	3	1
2648	3	1
2647	3	1
2646	3	1
2645	1	1
2644	1	1
2643	3	1
2642	1	1
2641	1	1
2640	1	1
2639	3	1
2638	1	1
2637	1	1
2636	3	1
2635	1	1
2634	1	1
2633	3	1
2632	1	1
2631	1	1
2630	3	1
2629	3	1
2628	3	1
2627	3	1
2626	3	1
2625	3	1
2624	3	1
2623	1	1
2622	1	1
2621	3	1
2620	3	1
2619	3	1
2618	3	1
2617	1	1
2616	1	1
2615	1	1
2614	3	1
2613	3	1
2612	3	1
2611	3	1
2610	3	1
2609	3	1
2608	3	1
2607	3	1
2606	3	1
2605	3	1
2604	3	1
2603	1	1
2602	1	1
2601	3	1
2600	3	1
2599	3	1
2598	3	1
2597	3	1
2596	3	1
2595	4	1
2594	4	1
2593	3	1
2592	3	1
2591	3	1
2590	3	1
2589	3	1
2588	1	1
2587	1	1
2586	3	1
2585	3	1
2584	3	1
2583	3	1
2582	3	1
2581	3	1
2580	3	1
2579	3	1
2578	3	1
2577	3	-9999
2576	3	-9999
2575	1	-9999
2574	1	-9999
2573	3	0
2572	3	0
2571	3	0
2570	3	0
2569	3	0
2568	3	0
2567	3	0
2566	3	0
2565	3	0
2564	3	0
2563	3	0
2562	3	0
2561	3	0
2560	3	0
2559	3	0
2558	3	0
2557	3	0
2556	3	0
2555	3	0
2554	3	0
2553	3	0
2552	3	0
2551	3	0
2550	1	0
2549	1	0
2548	3	0
2547	3	0
2546	3	0
2545	3	0
2544	3	0
2543	3	0
2542	3	0
2541	3	0
2540	3	0
2539	3	0
2538	3	0
2537	3	0
2536	3	0
2535	3	0
2534	3	0
2533	3	0
2532	3	0
2531	3	0
2530	3	0
2529	3	0
2528	3	0
2527	3	0
2526	3	0
2525	3	0
2524	1	0
2523	1	0
2522	3	0
2521	3	0
2520	3	0
2519	3	0
2518	9	0
2517	3	0
2516	3	0
2515	3	0
2514	3	0
2513	3	0
2512	3	0
2511	3	0
2510	3	0
2509	3	0
2508	3	0
2507	3	0
2506	3	0
2505	3	0
2504	3	0
2503	3	0
2502	3	0
2501	3	0
2500	3	0
2499	3	0
2498	3	0
2497	9	0
2496	3	0
2495	3	0
2494	3	0
2493	1	0
2492	1	0
2491	1	0
2490	3	0
2489	3	0
2488	3	0
2487	3	0
2486	3	0
2485	3	0
2484	3	0
2483	3	0
2482	3	0
2481	3	0
2480	3	0
2479	3	0
2478	3	0
2477	3	0
2476	3	0
2475	3	0
2475	3	0
2474	3	0
2473	3	0
2472	3	0
2471	3	0
2470	3	0
2469	1	0
2468	1	0
2467	1	0
2466	3	0
2465	3	0
2464	3	0
2463	3	0
2462	3	0
2461	3	0
2460	3	0
2459	3	0
2458	3	0
2457	3	0
2456	3	0
2455	3	0
2454	3	0
2453	3	0
2452	1	0
2451	1	0
